"Source","Target","Weight"
"AlSF","Arch",0.625
"AlSF","Burk",0.829268292682927
"AlSF","Frcs",0.82051282051282
"AlSF","HfAd",0.952380952380952
"AlSF","Prsv",0.606060606060606
"AlSF","Pika",0.705882352941176
"AlSF","Snal",0.756756756756757
"Arch","Burk",0.689655172413793
"Arch","Frcs",0.740740740740741
"Arch","HfAd",0.666666666666667
"Arch","Prsv",0.666666666666667
"Arch","Pika",0.727272727272727
"Arch","Snal",0.72
"ByKc","EsDv",0.315789473684211
"ByKc","KktS",0.421052631578947
"ByKc","MkyS",0.307692307692308
"ByKc","MyjK",0.72
"ByKc","MyjC",0.761904761904762
"ByKc","NrtE",0.3
"ByKc","SySm",0.533333333333333
"Burk","Frcs",0.777777777777778
"Burk","HfAd",0.871794871794872
"Burk","Prsv",0.666666666666667
"Burk","Pika",0.645161290322581
"Burk","Snal",0.764705882352941
"Chmv","EsDv",0.428571428571429
"Chmv","Nkkv",0.352941176470588
"Chmv","NrtE",0.533333333333333
"Chmv","NRv",0.5
"Chmv","SmnX",0.666666666666667
"Chmv","SySm",0.6
"Dkkv","EsDv",0.6
"Dkkv","KktS",0.4
"Dkkv","Nkkv",0.695652173913043
"DKK","Ftgy",0.545454545454545
"DKK","Higa",0.580645161290323
"DKK","HgE",0.594594594594595
"DKK","IrbK",0.666666666666667
"DKK","IznC",0.526315789473684
"DKK","MEK",0.318181818181818
"DKK","MyjK",0.3125
"DKK","NKIR",0.517241379310345
"DKK","Saka",0.482758620689655
"DKK","SPHK",0.578947368421053
"DKK","SYKI",0.6875
"DKK","TrmK",0.55
"EsDv","KktS",0.444444444444444
"EsDv","MyjC",0.3
"EsDv","Nkkv",0.476190476190476
"EsDv","NrtE",0.421052631578947
"EsDv","NRv",0.375
"EsDv","SmnX",0.375
"EsDv","SySm",0.428571428571429
"Frcs","HfAd",0.864864864864865
"Frcs","NrtE",0.296296296296296
"Frcs","Prsv",0.642857142857143
"Frcs","Pika",0.689655172413793
"Frcs","Snal",0.75
"Ftgy","Higa",0.466666666666667
"Ftgy","HgE",0.555555555555556
"Ftgy","IrbK",0.620689655172414
"Ftgy","IznC",0.540540540540541
"Ftgy","MEK",0.325581395348837
"Ftgy","MyjC",0.296296296296296
"Ftgy","NKIR",0.491228070175439
"Ftgy","Saka",0.456140350877193
"Ftgy","SPHK",0.594594594594595
"Ftgy","SYKI",0.580645161290323
"Ftgy","TrmH",0.4
"Ftgy","TrmK",0.666666666666667
"HfAd","Prsv",0.645161290322581
"HfAd","Pika",0.75
"HfAd","Snal",0.8
"Higa","HgE",0.470588235294118
"Higa","IrbK",0.666666666666667
"Higa","IznC",0.514285714285714
"Higa","NKIR",0.436363636363636
"Higa","Saka",0.472727272727273
"Higa","SPHK",0.514285714285714
"Higa","SYKI",0.482758620689655
"Higa","TrmH",0.428571428571429
"Higa","TrmK",0.648648648648649
"HgE","IrbK",0.606060606060606
"HgE","IznC",0.48780487804878
"HgE","MEK",0.297872340425532
"HgE","NKIR",0.491803278688525
"HgE","Saka",0.459016393442623
"HgE","SPHK",0.536585365853659
"HgE","SYKI",0.628571428571429
"HgE","TrmK",0.604651162790698
"IrbK","IznC",0.529411764705882
"IrbK","MEK",0.35
"IrbK","NKIR",0.444444444444444
"IrbK","Saka",0.481481481481482
"IrbK","SPHK",0.588235294117647
"IrbK","SYKI",0.571428571428571
"IrbK","TrmH",0.444444444444444
"IrbK","TrmK",0.666666666666667
"IznC","MEK",0.458333333333333
"IznC","NKIR",0.483870967741935
"IznC","Saka",0.548387096774194
"IznC","SPHK",0.714285714285714
"IznC","SYKI",0.666666666666667
"IznC","TrmK",0.590909090909091
"KktS","MyjK",0.333333333333333
"KktS","MyjC",0.4
"KktS","Nkkv",0.380952380952381
"MEK","NKIR",0.411764705882353
"MEK","Saka",0.411764705882353
"MEK","SPHK",0.375
"MEK","SYKI",0.333333333333333
"MkyS","MyjK",0.333333333333333
"MkyS","NrtE",0.307692307692308
"MkyS","SySm",0.5
"MyjK","MyjC",0.846153846153846
"MyjK","NrtE",0.32
"MyjK","SySm",0.4
"MyjC","SySm",0.375
"Nkkv","NrtE",0.454545454545455
"Nkkv","NRv",0.421052631578947
"Nkkv","SmnX",0.315789473684211
"NKIR","Saka",0.731707317073171
"NKIR","SPHK",0.516129032258065
"NKIR","SYKI",0.464285714285714
"NKIR","TrmH",0.363636363636364
"NKIR","TrmK",0.53125
"NrtE","NRv",0.705882352941176
"NrtE","SmnX",0.823529411764706
"NrtE","SySm",0.4
"NRv","SmnX",0.714285714285714
"Prsv","Pika",0.782608695652174
"Prsv","Snal",0.769230769230769
"Pika","Snal",0.814814814814815
"Saka","SPHK",0.548387096774194
"Saka","SYKI",0.464285714285714
"Saka","TrmH",0.436363636363636
"Saka","TrmK",0.65625
"SmnX","SySm",0.333333333333333
"SPHK","SYKI",0.722222222222222
"SPHK","TrmH",0.457142857142857
"SPHK","TrmK",0.681818181818182
"SYKI","TrmK",0.631578947368421
"TrmH","TrmK",0.702702702702703
