"","name","full_name","lat","long","depth","tect","region","eigen_C","betweenness_C"
"AlSF","AlSF","Alice Springs Field",18.2103,144.7073,3640,"back-arc spreading center","Mariana Trough",0.000410966428132156,0
"Arch","Arch","Archaean",12.939,143.632,3060,"back-arc spreading center","Mariana Trough",0.000410966428132156,0
"ByKc","ByKc","Bayonnaise Knoll caldera",31.9667,139.7333,900,"back-arc spreading center","Izu-Bonin back-arc",0.0296023226606811,9.91818181818181
"Burk","Burk","Burke",18.109,144.432,3660,"back-arc spreading center","Mariana Trough",0.000410966428132063,0
"Dkkv","Dkkv","Daikoku volcano",21.324,144.194,450,"arc volcano","Mariana Arc",0.00557360205061113,0
"DKK","DKK","Daisan-Kume Knoll",26.302,126.4125,1370,"arc volcano","Ryukyu Arc",0.948969847703728,156.741161616162
"EsDv","EsDv","East Diamante volcano",15.93,145.67,457,"arc volcano","Mariana Arc",0.0221183061327889,50.8681818181818
"Frcs","Frcs","Forecast",13.4,143.9166,1470,"back-arc spreading center","Mariana Trough",0.00209419574623892,182
"Ftgy","Ftgy","Futagoyama",24.8674,123.3081,1270,"back-arc spreading center","Okinawa Trough",1,79.7345598845599
"HfAd","HfAd","Hafa Adai",16.957,144.868,3294,"back-arc spreading center","Mariana Trough",0.000410966428132156,0
"Higa","Higa","Higa",26.555,126.2233,1485,"back-arc spreading center","Okinawa Trough",0.925898756166036,1.61461038961039
"HgE","HgE","Higashi-Ensei",28.4393,128.1724,1220,"back-arc spreading center","Okinawa Trough",0.940187586280166,0.222222222222222
"IrbK","IrbK","Irabu Knoll",25.23,124.88,1850,"back-arc spreading center","Okinawa Trough",0.990970452077946,2.03683261183261
"IznC","IznC","Izena Cauldron",27.2667,127.0833,1610,"back-arc spreading center","Okinawa Trough",0.940187586280166,0.222222222222222
"KktS","KktS","Kaikata Seamount",26.7,141.0833,930,"arc volcano","Izu-Bonin Arc",0.0258327372627636,30.2
"Ks2S","Ks2S","Kasuga 2 Seamount",21.6,143.6167,500,"arc volcano","Mariana Arc",0.00557360205061113,0
"MEK","MEK","Minami-Ensei Knoll",28.3917,127.6417,740,"back-arc spreading center","Okinawa Trough",0.787093114489397,0
"MkyS","MkyS","Mokuyo Seamount",28.32,140.58,1200,"arc volcano","Izu-Bonin Arc",0.0166084969968266,0
"MyjK","MyjK","Myojin Knoll",32.1033,139.8683,1360,"arc volcano","Izu-Bonin Arc",0.10622832860372,173.362121212121
"MyjC","MyjC","Myojinsho Caldera",31.8833,139.95,1110,"arc volcano","Izu-Bonin Arc",0.109219452433241,84.2643939393939
"Nkkv","Nkkv","Nikko volcano",23.0833,142.3333,600,"arc volcano","Mariana Arc",0.00831883354686009,14.5833333333333
"NKIR","NKIR","North Knoll, Iheya Ridge",27.7908,126.8966,1100,"back-arc spreading center","Okinawa Trough",0.990970452077947,2.03683261183261
"NrtE","NrtE","Northwest Eifuku",21.485,144.043,1604,"arc volcano","Mariana Arc",0.0203599766046054,219.7
"NRv","NRv","Northwest Rota-1 volcano",14.601,144.775,599,"arc volcano","Mariana Arc",0.00526157455808256,0
"Prsv","Prsv","Perseverance",15.4802,144.5077,3935,"back-arc spreading center","Mariana Trough",0.000410966428132249,0
"Pika","Pika","Pika",12.9183,143.6483,2990,"back-arc spreading center","Mariana Trough",0.000410966428132156,0
"Saka","Saka","Sakai",27.5481,126.9895,1600,"back-arc spreading center","Okinawa Trough",0.990970452077947,2.03683261183261
"SmnX","SmnX","Seamount X",13.25,144.02,1450,"arc volcano","Mariana Arc",0.0075841733554209,0.666666666666667
"Snal","Snal","Snail",12.9533,143.62,2880,"back-arc spreading center","Mariana Trough",0.000410966428132063,0
"SPHK","SPHK","SPOT, Hatoma Knoll",24.855,123.841,1520,"back-arc spreading center","Okinawa Trough",0.990970452077946,2.03683261183261
"SYKI","SYKI","SPOT, Yonaguni Knoll IV",24.849,122.7,1385,"back-arc spreading center","Okinawa Trough",0.940187586280166,0.222222222222222
"SySm","SySm","Suiyo Seamount",28.575,140.6417,1380,"arc volcano","Izu-Bonin Arc",0.0280936510949565,14.9181818181818
"SmsC","SmsC","Sumisu Caldera",31.4667,140.0667,690,"arc volcano","Izu-Bonin Arc",0,0
"TrmH","TrmH","Tarama Hill",25.45388,124.310103,1973,"back-arc spreading center","Okinawa Trough",0.614258525820225,0
"TrmK","TrmK","Tarama Knoll",25.0916,124.5416,1990,"back-arc spreading center","Okinawa Trough",0.925898756166035,1.61461038961039
